0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
15252 0 23,14 23,13 23,12 23,11 22,11 22,12 21,12 21,13
15253 0 24,14 23,14 23,13 23,12 23,11 22,11 22,12 21,12
15254 0 25,14 24,14 23,14 23,13 23,12 23,11 22,11 22,12
15255 0 25,13 25,14 24,14 23,14 23,13 23,12 23,11 22,11
15256 0 25,12 25,13 25,14 24,14 23,14 23,13 23,12 23,11
15257 0 25,12 25,13 25,14 24,14 23,14 23,13 23,12 23,11
15258 0 26,12 25,12 25,13 25,14 24,14 23,14 23,13 23,12
15259 0 26,12 25,12 25,13 25,14 24,14 23,14 23,13 23,12
15260 0 25,12 25,13 25,14 24,14 23,14 23,13 23,12 22,12
15261 0 25,13 25,14 24,14 23,14 23,13 23,12 22,12 22,11
15262 0 25,13 25,14 24,14 23,14 23,13 23,12 22,12 22,11
15263 0 24,13 25,13 25,14 24,14 23,14 23,13 23,12 22,12
15264 0 25,13 25,14 24,14 23,14 23,13 23,12 22,12 22,11
15265 0 25,13 25,14 24,14 23,14 23,13 23,12 22,12 22,11
15266 0 25,14 24,14 23,14 23,13 23,12 22,12 22,11 21,11
15267 0 24,14 23,14 23,13 23,12 22,12 22,11 21,11 21,10
15268 0 24,15 24,14 23,14 23,13 23,12 22,12 22,11 21,11
15269 0 24,14 23,14 23,13 23,12 22,12 22,11 21,11 20,11
15270 0 24,15 24,14 23,14 23,13 23,12 22,12 22,11 21,11
15271 0 24,14 23,14 23,13 23,12 22,12 22,11 21,11 21,10
15272 0 24,13 24,14 23,14 23,13 23,12 22,12 22,11 21,11
15273 0 24,13 24,14 23,14 23,13 23,12 22,12 22,11 21,11
15274 0 24,12 24,13 24,14 23,14 23,13 23,12 22,12 22,11
15275 0 24,11 24,12 24,13 24,14 23,14 23,13 23,12 22,12
15276 0 24,12 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15277 0 24,12 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15278 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15279 0 25,13 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15280 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15281 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15282 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15283 0 24,14 23,14 23,13 23,12 22,12 22,13 22,14 22,15
15284 0 23,14 23,13 23,12 22,12 22,13 22,14 22,15 21,15
15285 0 24,14 23,14 23,13 23,12 22,12 22,13 22,14 22,15
15286 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15287 0 25,13 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15288 0 24,13 24,14 23,14 23,13 23,12 22,12 22,13 22,14
15289 0 24,12 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15290 0 24,12 24,13 24,14 23,14 23,13 23,12 22,12 22,13
15291 0 25,12 24,12 24,13 24,14 23,14 23,13 23,12 22,12
15292 0 25,12 24,12 24,13 24,14 23,14 23,13 23,12 22,12
15293 0 25,11 25,12 24,12 24,13 24,14 23,14 23,13 23,12
15294 0 25,10 25,11 25,12 24,12 24,13 24,14 23,14 23,13
15295 0 25,10 25,11 25,12 24,12 24,13 24,14 23,14 23,13
15296 0 25,10 25,11 25,12 24,12 24,13 24,14 23,14 23,13
15297 0 25,11 25,12 24,12 24,13 24,14 23,14 23,13 22,13
15298 0 25,12 24,12 24,13 24,14 23,14 23,13 22,13 22,12
15299 0 25,12 24,12 24,13 24,14 23,14 23,13 22,13 22,12
15300 0 24,12 24,13 24,14 23,14 23,13 22,13 22,12 21,12
15301 0 25,12 24,12 24,13 24,14 23,14 23,13 22,13 22,12
15302 0 24,12 24,13 24,14 23,14 23,13 22,13 22,12 23,12
15303 0 25,12 24,12 24,13 24,14 23,14 23,13 22,13 22,12
15304 0 24,12 24,13 24,14 23,14 23,13 22,13 22,12 21,12
15305 0 24,13 24,14 23,14 23,13 22,13 22,12 21,12 21,13
15306 0 24,13 24,14 23,14 23,13 22,13 22,12 21,12 21,13
15307 0 24,13 24,14 23,14 23,13 22,13 22,12 21,12 21,13
15308 0 24,14 23,14 23,13 22,13 22,12 21,12 21,13 21,14
15309 0 24,14 23,14 23,13 22,13 22,12 21,12 21,13 21,14
15310 0 23,14 23,13 22,13 22,12 21,12 21,13 21,14 21,15
15311 0 23,14 23,13 22,13 22,12 21,12 21,13 21,14 21,15
15312 0 23,13 22,13 22,12 21,12 21,13 21,14 21,15 20,15
15313 0 23,13 22,13 22,12 21,12 21,13 21,14 21,15 20,15
15314 0 22,13 22,12 21,12 21,13 21,14 21,15 20,15 19,15
15315 0 22,12 21,12 21,13 21,14 21,15 20,15 19,15 19,16
15316 0 23,12 22,12 21,12 21,13 21,14 21,15 20,15 19,15
15317 0 23,13 23,12 22,12 21,12 21,13 21,14 21,15 20,15
15318 0 23,14 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15319 0 23,13 23,12 22,12 21,12 21,13 21,14 21,15 21,16
15320 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15321 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15322 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15323 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15324 0 23,13 23,12 22,12 21,12 21,13 21,14 21,15 21,16
15325 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15326 0 22,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15327 0 23,13 23,12 22,12 21,12 21,13 21,14 21,15 21,16
15328 0 23,13 23,12 22,12 21,12 21,13 21,14 21,15 21,16
15329 0 24,13 23,13 23,12 22,12 21,12 21,13 21,14 21,15
15330 0 24,14 24,13 23,13 23,12 22,12 21,12 21,13 21,14
15331 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 21,13
15332 0 25,13 25,14 24,14 24,13 23,13 23,12 22,12 21,12
15333 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 20,12
15334 0 24,14 24,13 23,13 23,12 22,12 21,12 20,12 20,13
15335 0 24,14 24,13 23,13 23,12 22,12 21,12 20,12 20,13
15336 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 20,12
15337 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 20,12
15338 0 25,15 25,14 24,14 24,13 23,13 23,12 22,12 21,12
15339 0 24,15 25,15 25,14 24,14 24,13 23,13 23,12 22,12
15340 0 24,15 25,15 25,14 24,14 24,13 23,13 23,12 22,12
15341 0 25,15 25,14 24,14 24,13 23,13 23,12 22,12 22,11
15342 0 25,16 25,15 25,14 24,14 24,13 23,13 23,12 22,12
15343 0 25,15 25,14 24,14 24,13 23,13 23,12 22,12 21,12
15344 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 21,11
15345 0 25,14 24,14 24,13 23,13 23,12 22,12 21,12 21,11
15346 0 26,14 25,14 24,14 24,13 23,13 23,12 22,12 21,12
15347 0 26,13 26,14 25,14 24,14 24,13 23,13 23,12 22,12
15348 0 27,13 26,13 26,14 25,14 24,14 24,13 23,13 23,12
15349 0 27,12 27,13 26,13 26,14 25,14 24,14 24,13 23,13
15350 0 27,13 26,13 26,14 25,14 24,14 24,13 23,13 23,14
15351 0 27,12 27,13 26,13 26,14 25,14 24,14 24,13 23,13
15352 0 28,12 27,12 27,13 26,13 26,14 25,14 24,14 24,13
15353 0 27,12 27,13 26,13 26,14 25,14 24,14 24,13 24,12
15354 0 27,13 26,13 26,14 25,14 24,14 24,13 24,12 24,11
15355 0 27,13 26,13 26,14 25,14 24,14 24,13 24,12 24,11
15356 0 26,13 26,14 25,14 24,14 24,13 24,12 24,11 24,10
15357 0 26,13 26,14 25,14 24,14 24,13 24,12 24,11 24,10
15358 0 27,13 26,13 26,14 25,14 24,14 24,13 24,12 24,11
15359 0 26,13 26,14 25,14 24,14 24,13 24,12 24,11 23,11
15360 0 26,14 25,14 24,14 24,13 24,12 24,11 23,11 22,11
15361 0 26,14 25,14 24,14 24,13 24,12 24,11 23,11 22,11
15362 0 26,14 25,14 24,14 24,13 24,12 24,11 23,11 22,11
15363 0 25,14 24,14 24,13 24,12 24,11 23,11 22,11 22,10
15364 0 25,15 25,14 24,14 24,13 24,12 24,11 23,11 22,11
15365 0 25,16 25,15 25,14 24,14 24,13 24,12 24,11 23,11
15366 0 25,15 25,14 24,14 24,13 24,12 24,11 23,11 23,12
15367 0 25,15 25,14 24,14 24,13 24,12 24,11 23,11 23,12
15368 0 24,15 25,15 25,14 24,14 24,13 24,12 24,11 23,11
15369 0 23,15 24,15 25,15 25,14 24,14 24,13 24,12 24,11
15370 0 22,15 23,15 24,15 25,15 25,14 24,14 24,13 24,12
15371 0 22,16 22,15 23,15 24,15 25,15 25,14 24,14 24,13
15372 0 23,16 22,16 22,15 23,15 24,15 25,15 25,14 24,14
15373 0 23,16 22,16 22,15 23,15 24,15 25,15 25,14 24,14
15374 0 24,16 23,16 22,16 22,15 23,15 24,15 25,15 25,14
15375 0 23,16 22,16 22,15 23,15 24,15 25,15 25,14 24,14
15376 0 23,16 22,16 22,15 23,15 24,15 25,15 25,14 24,14
15377 0 22,16 22,15 23,15 24,15 25,15 25,14 24,14 23,14
15378 0 22,15 23,15 24,15 25,15 25,14 24,14 23,14 23,13
15379 0 22,15 23,15 24,15 25,15 25,14 24,14 23,14 23,13
15380 0 22,15 23,15 24,15 25,15 25,14 24,14 23,14 23,13
15381 0 22,14 22,15 23,15 24,15 25,15 25,14 24,14 23,14
15382 0 22,15 23,15 24,15 25,15 25,14 24,14 23,14 23,13
15383 0 21,15 22,15 23,15 24,15 25,15 25,14 24,14 23,14
15384 0 21,15 22,15 23,15 24,15 25,15 25,14 24,14 23,14
15385 0 21,14 21,15 22,15 23,15 24,15 25,15 25,14 24,14
15386 0 21,14 21,15 22,15 23,15 24,15 25,15 25,14 24,14
15387 0 22,14 21,14 21,15 22,15 23,15 24,15 25,15 25,14
15388 0 22,13 22,14 21,14 21,15 22,15 23,15 24,15 25,15
15389 0 22,14 21,14 21,15 22,15 23,15 24,15 25,15 25,16
15390 0 22,14 21,14 21,15 22,15 23,15 24,15 25,15 25,16
15391 0 22,14 21,14 21,15 22,15 23,15 24,15 25,15 25,16
15392 0 21,14 21,15 22,15 23,15 24,15 25,15 25,16 25,17
15393 0 22,14 21,14 21,15 22,15 23,15 24,15 25,15 25,16
15394 0 22,13 22,14 21,14 21,15 22,15 23,15 24,15 25,15
15395 0 21,13 22,13 22,14 21,14 21,15 22,15 23,15 24,15
15396 0 22,13 22,14 21,14 21,15 22,15 23,15 24,15 24,16
15397 0 22,14 21,14 21,15 22,15 23,15 24,15 24,16 24,17
15398 0 21,14 21,15 22,15 23,15 24,15 24,16 24,17 23,17
15399 0 21,14 21,15 22,15 23,15 24,15 24,16 24,17 23,17
15400 0 21,14 21,15 22,15 23,15 24,15 24,16 24,17 23,17
15401 0 21,15 22,15 23,15 24,15 24,16 24,17 23,17 23,16
15402 0 21,14 21,15 22,15 23,15 24,15 24,16 24,17 23,17
15403 0 22,14 21,14 21,15 22,15 23,15 24,15 24,16 24,17
15404 0 21,14 21,15 22,15 23,15 24,15 24,16 24,17 24,18
15405 0 21,15 22,15 23,15 24,15 24,16 24,17 24,18 24,19
15406 0 22,15 23,15 24,15 24,16 24,17 24,18 24,19 24,20
15407 0 22,15 23,15 24,15 24,16 24,17 24,18 24,19 24,20
15408 0 22,15 23,15 24,15 24,16 24,17 24,18 24,19 24,20
15409 0 23,15 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15410 0 24,15 24,16 24,17 24,18 24,19 24,20 23,20 23,21
15411 0 25,15 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15412 0 26,15 25,15 24,15 24,16 24,17 24,18 24,19 24,20
15413 0 25,15 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15414 0 24,15 24,16 24,17 24,18 24,19 24,20 23,20 23,21
15415 0 24,14 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15416 0 24,14 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15417 0 24,14 24,15 24,16 24,17 24,18 24,19 24,20 23,20
15418 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 24,20
15419 0 23,13 23,14 24,14 24,15 24,16 24,17 24,18 24,19
15420 0 23,13 23,14 24,14 24,15 24,16 24,17 24,18 24,19
15421 0 23,13 23,14 24,14 24,15 24,16 24,17 24,18 24,19
15422 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 25,19
15423 0 23,15 23,14 24,14 24,15 24,16 24,17 24,18 24,19
15424 0 23,15 23,14 24,14 24,15 24,16 24,17 24,18 24,19
15425 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 23,19
15426 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 23,19
15427 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 23,19
15428 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 23,19
15429 0 23,14 24,14 24,15 24,16 24,17 24,18 24,19 23,19
15430 0 24,14 24,15 24,16 24,17 24,18 24,19 23,19 23,20
15431 0 24,15 24,16 24,17 24,18 24,19 23,19 23,20 22,20
15432 0 24,16 24,17 24,18 24,19 23,19 23,20 22,20 21,20
15433 0 24,17 24,18 24,19 23,19 23,20 22,20 21,20 21,19
15434 0 24,16 24,17 24,18 24,19 23,19 23,20 22,20 21,20
15435 0 24,17 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15436 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 20,21
15437 0 24,17 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15438 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 21,22
15439 0 23,18 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15440 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 21,22
15441 0 25,18 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15442 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 20,21
15443 0 24,17 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15444 0 24,17 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15445 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 22,21
15446 0 24,19 23,19 23,20 22,20 21,20 21,21 22,21 23,21
15447 0 24,19 23,19 23,20 22,20 21,20 21,21 22,21 23,21
15448 0 24,19 23,19 23,20 22,20 21,20 21,21 22,21 23,21
15449 0 24,19 23,19 23,20 22,20 21,20 21,21 22,21 23,21
15450 0 24,19 23,19 23,20 22,20 21,20 21,21 22,21 23,21
15451 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 22,21
15452 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 22,21
15453 0 24,18 24,19 23,19 23,20 22,20 21,20 21,21 22,21
15454 0 25,18 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15455 0 25,18 24,18 24,19 23,19 23,20 22,20 21,20 21,21
15456 0 25,19 25,18 24,18 24,19 23,19 23,20 22,20 21,20
15457 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15458 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15459 0 26,18 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15460 0 26,18 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15461 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15462 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15463 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15464 0 26,18 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15465 0 26,19 25,19 25,18 24,18 24,19 23,19 23,20 22,20
15466 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15467 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15468 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,20
15469 0 25,20 26,20 26,19 25,19 25,18 24,18 24,19 23,19
15470 0 25,20 26,20 26,19 25,19 25,18 24,18 24,19 23,19
15471 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,18
15472 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,18
15473 0 26,20 26,19 25,19 25,18 24,18 24,19 23,19 23,18
15474 0 25,20 26,20 26,19 25,19 25,18 24,18 24,19 23,19
15475 0 24,20 25,20 26,20 26,19 25,19 25,18 24,18 24,19
15476 0 24,21 24,20 25,20 26,20 26,19 25,19 25,18 24,18
15477 0 24,22 24,21 24,20 25,20 26,20 26,19 25,19 25,18
15478 0 24,23 24,22 24,21 24,20 25,20 26,20 26,19 25,19
15479 0 24,24 24,23 24,22 24,21 24,20 25,20 26,20 26,19
15480 0 24,23 24,22 24,21 24,20 25,20 26,20 26,19 25,19
15481 0 25,23 24,23 24,22 24,21 24,20 25,20 26,20 26,19
15482 0 24,23 24,22 24,21 24,20 25,20 26,20 26,19 27,19
15483 0 23,23 24,23 24,22 24,21 24,20 25,20 26,20 26,19
15484 0 23,23 24,23 24,22 24,21 24,20 25,20 26,20 26,19
15485 0 24,23 24,22 24,21 24,20 25,20 26,20 26,19 25,19
15486 0 24,22 24,21 24,20 25,20 26,20 26,19 25,19 24,19
15487 0 25,22 24,22 24,21 24,20 25,20 26,20 26,19 25,19
15488 0 25,23 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15489 0 25,22 24,22 24,21 24,20 25,20 26,20 26,19 27,19
15490 0 24,22 24,21 24,20 25,20 26,20 26,19 27,19 27,20
15491 0 25,22 24,22 24,21 24,20 25,20 26,20 26,19 27,19
15492 0 25,23 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15493 0 25,22 24,22 24,21 24,20 25,20 26,20 26,19 26,18
15494 0 26,22 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15495 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 26,20
15496 0 26,20 26,21 26,22 25,22 24,22 24,21 24,20 25,20
15497 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 25,21
15498 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 25,21
15499 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 25,21
15500 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 25,21
15501 0 27,21 26,21 26,22 25,22 24,22 24,21 24,20 25,20
15502 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 25,19
15503 0 25,21 26,21 26,22 25,22 24,22 24,21 24,20 25,20
15504 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 26,20
15505 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 26,20
15506 0 27,21 26,21 26,22 25,22 24,22 24,21 24,20 25,20
15507 0 27,20 27,21 26,21 26,22 25,22 24,22 24,21 24,20
15508 0 27,21 26,21 26,22 25,22 24,22 24,21 24,20 24,19
15509 0 28,21 27,21 26,21 26,22 25,22 24,22 24,21 24,20
15510 0 27,21 26,21 26,22 25,22 24,22 24,21 24,20 25,20
15511 0 26,21 26,22 25,22 24,22 24,21 24,20 25,20 26,20
15512 0 26,22 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15513 0 26,22 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15514 0 26,22 25,22 24,22 24,21 24,20 25,20 26,20 26,19
15515 0 25,22 24,22 24,21 24,20 25,20 26,20 26,19 27,19
15516 0 24,22 24,21 24,20 25,20 26,20 26,19 27,19 27,18
15517 0 24,22 24,21 24,20 25,20 26,20 26,19 27,19 27,18
15518 0 24,21 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15519 0 24,20 25,20 26,20 26,19 27,19 27,18 28,18 29,18
15520 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15521 0 24,20 25,20 26,20 26,19 27,19 27,18 28,18 28,17
15522 0 23,20 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15523 0 23,20 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15524 0 23,20 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15525 0 23,20 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15526 0 24,20 25,20 26,20 26,19 27,19 27,18 28,18 28,19
15527 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15528 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15529 0 25,19 24,19 24,20 25,20 26,20 26,19 27,19 27,18
15530 0 25,18 25,19 24,19 24,20 25,20 26,20 26,19 27,19
15531 0 25,18 25,19 24,19 24,20 25,20 26,20 26,19 27,19
15532 0 25,19 24,19 24,20 25,20 26,20 26,19 27,19 27,18
15533 0 25,19 24,19 24,20 25,20 26,20 26,19 27,19 27,18
15534 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 26,18
15535 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 26,18
15536 0 24,20 25,20 26,20 26,19 27,19 27,18 26,18 25,18
15537 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 26,18
15538 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 26,18
15539 0 23,19 24,19 24,20 25,20 26,20 26,19 27,19 27,18
15540 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15541 0 24,19 24,20 25,20 26,20 26,19 27,19 27,18 28,18
15542 0 24,20 25,20 26,20 26,19 27,19 27,18 28,18 29,18
15543 0 25,20 26,20 26,19 27,19 27,18 28,18 29,18 29,19
15544 0 25,20 26,20 26,19 27,19 27,18 28,18 29,18 29,19
15545 0 25,20 26,20 26,19 27,19 27,18 28,18 29,18 29,19
15546 0 26,20 26,19 27,19 27,18 28,18 29,18 29,19 29,20
15547 0 26,21 26,20 26,19 27,19 27,18 28,18 29,18 29,19
15548 0 26,20 26,19 27,19 27,18 28,18 29,18 29,19 30,19
15549 0 26,20 26,19 27,19 27,18 28,18 29,18 29,19 30,19
15550 0 26,19 27,19 27,18 28,18 29,18 29,19 30,19 31,19
15551 0 27,19 27,18 28,18 29,18 29,19 30,19 31,19 31,18
15552 0 28,19 27,19 27,18 28,18 29,18 29,19 30,19 31,19
15553 0 28,20 28,19 27,19 27,18 28,18 29,18 29,19 30,19
15554 0 28,20 28,19 27,19 27,18 28,18 29,18 29,19 30,19
15555 0 28,19 27,19 27,18 28,18 29,18 29,19 30,19 30,18
15556 0 28,19 27,19 27,18 28,18 29,18 29,19 30,19 30,18
15557 0 28,19 27,19 27,18 28,18 29,18 29,19 30,19 30,18
15558 0 28,19 27,19 27,18 28,18 29,18 29,19 30,19 30,18
15559 0 27,19 27,18 28,18 29,18 29,19 30,19 30,18 31,18
15560 0 27,18 28,18 29,18 29,19 30,19 30,18 31,18 32,18
15561 0 27,17 27,18 28,18 29,18 29,19 30,19 30,18 31,18
15562 0 28,17 27,17 27,18 28,18 29,18 29,19 30,19 30,18
15563 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 30,19
15564 0 29,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15565 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 28,19
15566 0 28,17 27,17 27,18 28,18 29,18 29,19 28,19 28,20
15567 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 28,19
15568 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15569 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15570 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15571 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15572 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15573 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15574 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15575 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15576 0 26,15 26,16 27,16 28,16 28,17 27,17 27,18 28,18
15577 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15578 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 30,18
15579 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 30,18
15580 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 30,18
15581 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 30,18
15582 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15583 0 26,17 26,16 27,16 28,16 28,17 27,17 27,18 28,18
15584 0 26,16 27,16 28,16 28,17 27,17 27,18 28,18 29,18
15585 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15586 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15587 0 27,16 28,16 28,17 27,17 27,18 28,18 29,18 29,19
15588 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 29,20
15589 0 28,17 27,17 27,18 28,18 29,18 29,19 29,20 30,20
15590 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 29,20
15591 0 28,16 28,17 27,17 27,18 28,18 29,18 29,19 29,20
15592 0 28,17 27,17 27,18 28,18 29,18 29,19 29,20 28,20
15593 0 27,17 27,18 28,18 29,18 29,19 29,20 28,20 27,20
15594 0 27,18 28,18 29,18 29,19 29,20 28,20 27,20 26,20
15595 0 28,18 29,18 29,19 29,20 28,20 27,20 26,20 26,19
15596 0 29,18 29,19 29,20 28,20 27,20 26,20 26,19 26,18
15597 0 29,19 29,20 28,20 27,20 26,20 26,19 26,18 25,18
15598 0 29,20 28,20 27,20 26,20 26,19 26,18 25,18 25,17
15599 0 29,20 28,20 27,20 26,20 26,19 26,18 25,18 25,17
15600 0 28,20 27,20 26,20 26,19 26,18 25,18 25,17 25,16
15601 0 28,21 28,20 27,20 26,20 26,19 26,18 25,18 25,17
15602 0 28,20 27,20 26,20 26,19 26,18 25,18 25,17 24,17
15603 0 27,20 26,20 26,19 26,18 25,18 25,17 24,17 23,17
15604 0 26,20 26,19 26,18 25,18 25,17 24,17 23,17 23,18
15605 0 26,19 26,18 25,18 25,17 24,17 23,17 23,18 22,18
15606 0 26,18 25,18 25,17 24,17 23,17 23,18 22,18 21,18
15607 0 26,19 26,18 25,18 25,17 24,17 23,17 23,18 22,18
15608 0 27,19 26,19 26,18 25,18 25,17 24,17 23,17 23,18
15609 0 26,19 26,18 25,18 25,17 24,17 23,17 23,18 22,18
15610 0 26,18 25,18 25,17 24,17 23,17 23,18 22,18 22,17
15611 0 26,18 25,18 25,17 24,17 23,17 23,18 22,18 22,17
15612 0 25,18 25,17 24,17 23,17 23,18 22,18 22,17 22,16
15613 0 25,18 25,17 24,17 23,17 23,18 22,18 22,17 22,16
15614 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15615 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15616 0 24,17 23,17 23,18 22,18 22,17 22,16 23,16 24,16
15617 0 23,17 23,18 22,18 22,17 22,16 23,16 24,16 25,16
15618 0 24,17 23,17 23,18 22,18 22,17 22,16 23,16 24,16
15619 0 24,17 23,17 23,18 22,18 22,17 22,16 23,16 24,16
15620 0 23,17 23,18 22,18 22,17 22,16 23,16 24,16 24,17
15621 0 23,17 23,18 22,18 22,17 22,16 23,16 24,16 24,17
15622 0 24,17 23,17 23,18 22,18 22,17 22,16 23,16 24,16
15623 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15624 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15625 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15626 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15627 0 25,17 24,17 23,17 23,18 22,18 22,17 22,16 23,16
15628 0 25,18 25,17 24,17 23,17 23,18 22,18 22,17 22,16
